date,category,item_name,specification,price
2025-12-17,POULTRY PRODUCTS,Chicken Leg Quarter,Bounty Fresh,235.0
2025-12-17,POULTRY PRODUCTS,"Chicken Leg Quarter, Imported",,165.83
2025-12-17,POULTRY PRODUCTS,"Chicken Liver, Local",,235.74
2025-12-17,POULTRY PRODUCTS,"Chicken Neck, Local",,145.7
2025-12-17,POULTRY PRODUCTS,"Chicken Rind/Skin, Local",,155.91
2025-12-17,POULTRY PRODUCTS,"Chicken Thigh, Local",,218.5
2025-12-17,POULTRY PRODUCTS,"Chicken Wing, Local","Unbranded, Fresh",221.61
2025-12-17,POULTRY PRODUCTS,"Chicken Wing, Local",Magnolia,228.77
2025-12-17,POULTRY PRODUCTS,"Chicken Wing, Local",Bounty Fresh,236.67
2025-12-17,POULTRY PRODUCTS,"Whole Chicken, Local",Fully Dressed,202.84
2025-12-17,POULTRY PRODUCTS,"Whole Chicken, Local",Magnolia,212.56
2025-12-17,POULTRY PRODUCTS,"Whole Chicken, Local",Bounty Fresh,217.5
